Scenario,Home_Temp,Population,Exp_Temp,Rep,Date and Time In,Date and Time Out,Total Time (days),# Start,# End,r,Temp.rep1,Temp.rep2
Acute,20,4,10,1,1/27/2020 16:02,1/28/2020 9:27,0.73,7,6,-0.21,20.4,20.4
Acute,20,4,10,2,1/27/2020 16:02,1/28/2020 9:30,0.73,7,9,0.35,20.4,20.4
Acute,20,4,10,3,1/27/2020 16:02,1/28/2020 9:32,0.73,7,10,0.49,20.4,20.4
Acute,20,4,10,4,1/27/2020 16:02,1/28/2020 9:35,0.73,7,7,0,20.4,20.4
Acute,20,4,10,5,1/27/2020 16:02,1/28/2020 9:37,0.73,7,7,0,20.4,20.4
Acute,20,4,10,6,1/27/2020 16:02,1/28/2020 9:40,0.73,7,7,0,20.4,20.4
Acute,20,4,20,1,1/27/2020 16:04,1/28/2020 10:36,0.77,7,9,0.33,20.4,20.4
Acute,20,4,20,2,1/27/2020 16:04,1/28/2020 10:37,0.77,7,8,0.17,20.4,20.4
Acute,20,4,20,3,1/27/2020 16:04,1/28/2020 10:39,0.77,7,8,0.17,20.4,20.4
Acute,20,4,20,4,1/27/2020 16:04,1/28/2020 10:40,0.78,7,11,0.58,20.4,20.4
Acute,20,4,20,5,1/27/2020 16:04,1/28/2020 10:41,0.78,7,10,0.46,20.4,20.4
Acute,20,4,20,6,1/27/2020 16:04,1/28/2020 10:43,0.78,7,8,0.17,20.4,20.4
Acute,20,4,25,1,1/27/2020 16:16,1/28/2020 13:10,0.87,7,23,1.37,20.4,20.4
Acute,20,4,25,2,1/27/2020 16:16,1/28/2020 13:48,0.9,7,27,1.5,20.4,20.4
Acute,20,4,25,3,1/27/2020 16:16,1/28/2020 14:30,0.93,7,19,1.08,20.4,20.4
Acute,20,4,25,4,1/27/2020 16:16,1/28/2020 14:47,0.94,7,22,1.22,20.4,20.4
Acute,20,4,25,5,1/27/2020 16:16,1/28/2020 15:04,0.95,7,26,1.38,20.4,20.4
Acute,20,4,25,6,1/27/2020 16:16,1/28/2020 15:10,0.95,7,25,1.33,20.4,20.4
Acute,20,4,28,1,1/27/2020 16:00,1/28/2020 16:24,1.02,7,44,1.81,20.4,20.4
Acute,20,4,28,2,1/27/2020 16:00,1/28/2020 16:38,1.03,7,44,1.79,20.4,20.4
Acute,20,4,28,3,1/27/2020 16:00,1/28/2020 16:52,1.04,7,53,1.95,20.4,20.4
Acute,20,4,28,4,1/27/2020 16:00,1/28/2020 17:00,1.04,7,49,1.87,20.4,20.4
Acute,20,4,28,5,1/27/2020 16:00,1/28/2020 17:18,1.05,7,46,1.79,20.4,20.4
Acute,20,4,28,6,1/27/2020 16:00,1/28/2020 17:30,1.06,7,55,1.94,20.4,20.4
Acute,20,4,30,1,1/27/2020 16:21,1/28/2020 18:08,1.07,7,53,1.88,20.4,20.4
Acute,20,4,30,2,1/27/2020 16:21,1/28/2020 18:33,1.09,7,56,1.9,20.4,20.4
Acute,20,4,30,3,1/27/2020 16:21,1/28/2020 18:17,1.08,7,71,2.14,20.4,20.4
Acute,20,4,30,4,1/27/2020 16:21,1/28/2020 18:01,1.07,7,64,2.07,20.4,20.4
Acute,20,4,30,5,1/27/2020 16:21,1/28/2020 18:26,1.09,7,64,2.04,20.4,20.4
Acute,20,4,30,6,1/27/2020 16:21,1/28/2020 17:54,1.06,7,47,1.79,20.4,20.4
Acute,20,4,32,1,1/27/2020 16:11,1/28/2020 12:37,0.85,7,48,2.26,20.4,20.4
Acute,20,4,32,2,1/27/2020 16:11,1/28/2020 12:42,0.85,7,33,1.81,20.4,20.4
Acute,20,4,32,3,1/27/2020 16:11,1/28/2020 12:46,0.86,7,43,2.12,20.4,20.4
