Tech_rep,Temp,Replicate,Treatment,PopID,Date time start,Date time end,Total time (days),Total time (days),# at end,r,r2
1,10,1,20,20.1,3/29/2021 11:17,3/30/2021 11:04,0.99,7,7,0,0
1,10,2,20,20.2,3/29/2021 11:17,3/30/2021 10:50,0.98,7,7,0,0
1,10,3,20,20.3,3/29/2021 11:17,3/30/2021 11:10,1,7,7,0,0
1,10,4,20,20.4,3/29/2021 11:17,3/30/2021 11:07,0.99,7,7,0,0
1,10,5,36,36.1,3/29/2021 11:17,3/30/2021 11:01,0.99,7,8,0.14,0.14
1,10,6,36,36.6,3/29/2021 11:17,3/30/2021 10:57,0.99,7,7,0,0
1,10,7,36,36.7,3/29/2021 11:17,3/30/2021 10:54,0.98,7,7,0,0
1,20,1,20,20.1,3/29/2021 11:18,3/30/2021 13:21,1.09,7,29,1.31,1.31
1,20,2,20,20.2,3/29/2021 11:18,3/30/2021 13:29,1.09,7,28,1.27,1.27
1,20,3,20,20.3,3/29/2021 11:18,3/30/2021 13:25,1.09,7,28,1.27,1.27
1,20,4,20,20.4,3/29/2021 11:18,3/30/2021 13:35,1.1,7,27,1.23,1.23
1,20,5,36,36.1,3/29/2021 11:18,3/30/2021 13:43,1.1,7,11,0.41,0.41
1,20,6,36,36.6,3/29/2021 11:18,3/30/2021 13:47,1.1,7,13,0.56,0.56
1,20,7,36,36.7,3/29/2021 11:18,3/30/2021 13:51,1.11,7,17,0.8,0.8
1,26,1,20,20.1,3/29/2021 11:20,3/30/2021 11:20,1,7,50,1.97,1.97
1,26,2,20,20.2,3/29/2021 11:20,3/30/2021 11:55,1.02,7,52,1.96,1.96
1,26,3,20,20.3,3/29/2021 11:20,3/30/2021 12:01,1.03,7,50,1.91,1.91
1,26,4,20,20.4,3/29/2021 11:20,3/30/2021 11:53,1.02,7,52,1.96,1.96
1,26,5,36,36.1,3/29/2021 11:20,3/30/2021 12:01,1.03,7,27,1.31,1.31
1,26,6,36,36.6,3/29/2021 11:20,3/30/2021 12:08,1.03,7,20,1.02,1.02
1,26,7,36,36.7,3/29/2021 11:20,3/30/2021 11:48,1.02,7,24,1.21,1.21
1,28,1,20,20.1,3/29/2021 11:21,3/30/2021 11:34,1.01,7,82,2.44,2.44
1,28,2,20,20.2,3/29/2021 11:21,3/30/2021 11:29,1.01,7,84,2.47,2.47
1,28,3,20,20.3,3/29/2021 11:21,3/30/2021 11:43,1.02,7,82,2.42,2.42
1,28,4,20,20.4,3/29/2021 11:21,3/30/2021 11:25,1,7,80,2.43,2.43
1,28,5,36,36.1,3/29/2021 11:21,3/30/2021 11:16,1,7,36,1.64,1.64
1,28,6,36,36.6,3/29/2021 11:21,3/30/2021 11:38,1.01,7,18,0.93,0.93
1,28,7,36,36.7,3/29/2021 11:21,3/30/2021 11:44,1.02,7,23,1.17,1.17
1,30,1,20,20.1,3/29/2021 11:23,3/30/2021 12:20,1.04,7,101,2.57,2.57
1,30,2,20,20.2,3/29/2021 11:23,3/30/2021 12:35,1.05,7,111,2.63,2.63
1,30,3,20,20.3,3/29/2021 11:23,3/30/2021 12:36,1.05,7,75,2.26,2.26
1,30,4,20,20.4,3/29/2021 11:23,3/30/2021 12:30,1.05,7,101,2.55,2.55
1,30,5,36,36.1,3/29/2021 11:23,3/30/2021 12:42,1.05,7,43,1.72,1.72
1,30,6,36,36.6,3/29/2021 11:23,3/30/2021 12:41,1.05,7,18,0.9,0.9
1,30,7,36,36.7,3/29/2021 11:23,3/30/2021 12:35,1.05,7,35,1.53,1.53
1,32,1,20,20.1,3/29/2021 11:26,3/30/2021 12:57,1.06,7,166,2.98,2.98
1,32,2,20,20.2,3/29/2021 11:26,3/30/2021 13:13,1.07,7,209,3.16,3.16
1,32,3,20,20.3,3/29/2021 11:26,3/30/2021 13:03,1.07,7,127,2.72,2.72
1,32,4,20,20.4,3/29/2021 11:26,3/30/2021 12:54,1.06,7,152,2.9,2.9
1,32,5,36,36.1,3/29/2021 11:26,3/30/2021 13:08,1.07,7,51,1.85,1.85
1,32,6,36,36.6,3/29/2021 11:26,3/30/2021 13:12,1.07,7,27,1.26,1.26
1,32,7,36,36.7,3/29/2021 11:26,3/30/2021 13:17,1.08,7,58,1.96,1.96
1,36,1,20,20.1,3/29/2021 11:28,3/30/2021 13:27,1.08,7,50,1.82,1.82
1,36,2,20,20.2,3/29/2021 11:28,3/30/2021 13:57,1.1,7,36,1.48,1.48
1,36,3,20,20.3,3/29/2021 11:28,3/30/2021 13:23,1.08,7,50,1.82,1.82
1,36,4,20,20.4,3/29/2021 11:28,3/30/2021 12:36,1.05,7,44,1.76,1.76
1,36,5,36,36.1,3/29/2021 11:28,3/30/2021 13:53,1.1,7,11,0.41,0.41
